en,ml
drawer,മേശവലിപ്പ്
drawer,വലിക്കുന്നവന്‍
drawers,പുരുഷന്മാരുടെ അടിവസ്ത്രം
drawers,ജട്ടി
drawers,അടിക്കുപ്പായം
drawers,കാലുറ
drawing,പടം വരപ്പ്
drawing,ചിത്രം
drawing,പടം
drawing,ചിത്രമെഴുത്ത്
drawl,ഇഴച്ചുവലിച്ചു സംസാരിക്കുക
drawl,മന്ദമായി സംസാരിക്കുക
drawl,നീട്ടി സംസാരിക്കുക
dread,പേടിക്കുക
dread,ഭയക്കുക
dread,ഭീതിയോടെ നോക്കുക
dreadful,ഭയാനകമായ
dreadful,ഭീകരമായ
dreadful,ഭീഷണമായ
dreadfully,ഭയങ്കരമായി
dreadfully,ഭീമമായി
dreadfully,ദാരുണമായി
dream,സ്വപ്നം
dream,കിനാവ്
dream,മിഥ്യാവിചാരം
dream,ആഗ്രഹം
dream,മയക്കം
dreamy,മനോരാജ്യത്തില്‍ മുഴുകിയ
dreamy,സ്വപ്നം കാണുന്ന
dreamy,അപ്രായോഗികമായ
dreamy,സ്പഷ്ടമല്ലാത്ത
dreamily,സ്വപ്നത്തിലെന്നവണ്ണം
dreamily,ഉറക്കം തൂങ്ങിക്കൊണ്ട്
dreary,ഉത്സാഹമില്ലാത്ത
dreary,ദുഃഖകരമായ
dreary,ഇരുണ്ട
dreary,വിരസമായ
dredge,വലവീശിപ്പിടിക്കുക
dredge,കുഴിച്ചുതോണ്ടുക
dredge,ചേറുവാരുക
dredge,നദിയോ തുറമുഖമോ വൃത്തിയാക്കുക
dredger,മണ്ണുമാന്തിക്കപ്പല്‍
dredger,മണ്ണുവാരിയന്ത്രം
dredger,ഡ്രെജര്‍
dredger,കടലടിവാരി
drench,നനച്ചു കുതിര്‍ക്കുക
drench,ദ്രാവകത്തില്‍ മുക്കിയെടുക്കുക
drench,ബലാല്‍ക്കാരമായി മരുന്നു കൊടുക്കുക
dress,വസ്ത്രം ധരിക്കുക
dress,അലങ്കരിക്കുക
dress,വ്രണം കഴുകി മരുന്നു വച്ചുകെട്ടുക
dress,ഉടുത്തൊരുങ്ങുക
dresser,അലങ്കരിക്കുന്നവന്‍
dresser,വ്രണങ്ങള്‍ കഴുകി മരുന്നു വച്ചുകെട്ടുന്നവന്‍
dressing,വസ്ത്രധാരണം
dribble,തുളളിതുളളിയായ വീഴുക
dribble,തുപ്പലൊലിപ്പിക്കുക
dribble,പന്തു പതുക്കെപ്പതുക്കെ തട്ടിനീക്കുക
drift,ചെറിയ ഒഴുക്ക്
drift,ഉദ്ദേശ്യം
drift,കൂന
drift,പ്രവണത
drill,തമര്
drill,തുരപ്പന്‍യന്ത്രംവിത്തുവിതയ്ക്കാന്‍ വെട്ടിയുണ്ടാക്കിയ നീണ്ട ചാല്‍വിദ്യാര്‍ത്ഥികളുടെ സംഘം ചേര്‍ന്നുള്ള കായികപരിശീലനം
drill,പട്ടാളക്കാരുടെ ആയുധപരിശീലനം
drink,കുടിക്കുക
drink,മദ്യപിക്കുക
drinkable,കുടിക്കത്തക്ക
drinkable,കുടിക്കാന്‍ കൊളളാവുന്ന
drinkable,പാനയോഗ്യമായ
drip,തുളളിയായി വീഴുക
drip,ഇറ്റിറ്റു വീഴ്ത്തുക
drip,വെളളമൊലിക്കുക
drive,വണ്ടിയോടിക്കുക
drive,തുരത്തുക
drive,നിര്‍ബ്ബന്ധിക്കുക
drive,തള്ളിക്കയറ്റുക
driver,വണ്ടി ഓടിക്കുന്നയാള്‍
driver,നിയന്ത്രിക്കുന്നവന്‍
driver,സാരഥി
drizzle,ചാറ്റല്‍മഴ
drizzle,തൂറ്റല്‍
drizzle,സുഗന്ധദ്രവ്യങ്ങളുടെ ചെറുതുളളികള്‍
drone,ആണ്‍തേനീച്ച
drone,അലസന്‍
drone,മുഴക്കം
drone,വിരസഭാഷണം
droop,തളരുക
droop,കുനിയുക
droop,കീഴോട്ടു നോക്കുക
droop,കണ്ണടഞ്ഞു പോകുക
droop,വാടുക
drop,തുളളി
drop,ബിന്ദു
drop,പെട്ടെന്നുളള വീഴ്ച
drop,കണം
drop,വളരെ ചെറിയ അളവ്
dross,അഴുക്ക്
dross,കറ
dross,ഉരുകിയ ലോഹത്തില്‍നിന്നും നീക്കം ചെയ്ത മലിനവസ്തു
drought,വരള്‍ച്ച
drought,തുടര്‍ച്ചയായ വേനല്‍
drought,ക്ഷാമം
drought,മഴയില്ലായ്മ
drove,നടന്നുകൊണ്ടിരിക്കുന്ന പുരുഷാരം
drove,ജലസേചനത്തിനുള്ള തോട്
drove,നാല്‍ക്കാലിക്കൂട്ടം
drown,മുങ്ങിച്ചാവുക
drown,നിമജ്ജനം ചെയ്യുക
drown,മുക്കിക്കൊല്ലുക
drowsy,നിദ്രാലസമായ
drowsy,ബുദ്ധിമാന്ദ്യമുളള
drowsy,പതുക്കെപോകുന്ന
drowsy,ഉറക്കം തൂങ്ങുക
drudge,വിടുപണി ചെയ്യുന്നവന്‍
drudge,അടിമ
drudge,വാല്യക്കാരന്‍
drug,മരുന്ന്
drug,അങ്ങാടിമരുന്ന്
drug,ലഹരിമരുന്ന്
drug,
druggist,മരുന്നുകച്ചവടക്കാരന്‍
druggist,മരുന്നുകടക്കാരന്‍
druggist,ഔഷധവിക്രേഃാവ്
drum,ചെണ്ട
drum,മദ്ദളം
drum,പറ
drum,വീപ്പ
drunk,കുടിച്ചു ലഹരിപിടിച്ച
drunk,മദോന്മത്തായ
drunk,വിജയോന്മാദംകൊണ്ട
drunken,കുടിച്ച
drunken,ലഹരിപിടിച്ച
drunken,കുടിച്ച് ബോധംകെട്ട
drunken,അമിതമായി മദ്യപിക്കുന്ന
drunkard,കുടിയന്‍
drunkard,പാനാസക്തന്‍
drunkard,മദ്യപാനി
drunkard,മദ്യാസക്തന്‍
drunkard,സ്ഥിരം മദ്യപാനി
dry,ഉണങ്ങിയ
dry,വരണ്ട
dry,വാടിക്കരിഞ്ഞ
dryness,വരള്‍ച്ച
dryness,ഉണക്ക്
dryness,ജലശൂന്യത
dual,ഇരട്ടയായ
dual,ദ്വന്ദ്വമായ
dual,രണ്ടായ
dual,ദ്വിവിധമായ
dubious,തീര്‍ച്ചയില്ലാത്ത
dubious,ചഞ്ചലമായ
dubious,അവ്യക്തമായ
dubious,സംശയാസ്പദമായ
duchess,ഉന്നതകുലജാതയായ സ്ത്രീ
duchess,ആഢ്യസ്ത്രീ
duchess,പ്രഭുപത്നി
duchess,പ്രഭ്വി
duck,താറാവ്
duck,കളഹംസം
duck,വാത്ത്
due,കടപ്പെട്ടിരിക്കുന്ന
due,നിയമാനുസാരമായ
due,അര്‍ഹമായ
duel,ദ്വന്ദ്വയുദ്ധം
duel,രണ്ടുപേര്‍ തമ്മില്‍ നടക്കുന്ന യുദ്ധം
dug,മൃഗ മുലക്കാമ്പ്
dug,മുല
duke,നാടുവാഴി
duke,ഇടപ്രഭു
duke,ജമീന്ദാര്‍
dull,മന്ദബുദ്ധിയായ
dull,മൂര്‍ച്ചയില്ലാത്ത
dull,നിരുത്സാഹപരമായ
dull,മുഷിഞ്ഞ
dully,അല്പം മന്ദബുദ്ധിയായ
duly,ഉചിതമായി
duly,യോജിച്ച രീതിയില്‍
duly,തക്കസമയത്ത്
dumb,ഊമയായ
dumb,നിശ്ശബ്ദമായ
dumb,സംസാരിക്കാത്ത
dummy,മനുഷ്യാകൃതിയിലുളള രൂപം
dummy,യഥാര്‍ത്ഥവസ്തുവിന്റെ പകര്‍പ്പായ വ്യാജവസ്തു
dummy,പാവ
dummy,കോലം
dump,ചവറിടുന്ന സ്ഥലം
dump,മണല്‍ക്കുമ്പാരം
dump,മനഃകുണ്ഠിതം
dump,തള്ളിയിടുന്ന സ്ഥലം
dunce,മന്ദബുദ്ധി
dunce,മടയന്‍
dunce,മണ്ടശിരോമണി
dung,മൃഗകാഷ്ഠം
dung,പക്ഷിക്കാഷ്ഠം
dung,ചാണകം
dupe,വഞ്ചിതന്‍
dupe,മണ്ടന്‍
dupe,സിനിമയിലെ ഒരു നടനുവേണ്ടി അപകടരംഗങ്ങളില്‍ അഭിനയിക്കുന്നയാള്‍
duplicate,പകര്‍പ്പായ
duplicate,രണ്ടു തുല്യഭാഗങ്ങളുളള
duplicate,രണ്ടുമാതിരികളില്‍ ഉളള
duplicator,പകര്‍പ്പുകള്‍ എടുക്കുന്നതിനുളള യന്ത്രം
duplicator,പകര്‍പ്പുകള്‍ എടുക്കുന്ന ആള്‍
duplicity,നേരുകേട്
duplicity,കാപട്യം
duplicity,തട്ടിപ്പ്
duplicity,വഞ്ചന
durable,നിലനില്‍ക്കുന്ന
durable,ഈടുനില്‍ക്കുന്ന
durable,ഉറപ്പുള്ള
duration,തുടര്‍ച്ച
duration,കാലദൈര്‍ഘ്യം
duration,കാലയളവ്
during,കാലമെല്ലാം
during,ഇടയില്‍
during,മദ്ധ്യേ
during,അത്രയുംകാലം
dusk,സായംസന്ധ്യ
dusk,ഇരുള്‍വീഴുന്ന സമയം
dusk,പ്രദോഷം
dusk,പുലര്‍കാലം
dusk,ചെറിയ ഇരുള്‍
dust,പൂഴി
dust,പൊടി
dust,ചിതാഭസ്മം
dust,ധൂളി
duster,പൊടി തുടയ്ക്കുന്ന തുണി
duster,ബ്രഷ്
duster,പൊടി തുടയ്ക്കുന്നയാള്‍
duster,ചൂല്
dusty,പൊടിപിടിച്ച
dusty,വിരസമായ
dusty,മങ്ങിയ
duty,കര്‍ത്തവ്യം
duty,കര്‍മ്മം
duty,ചുമതല
duty,ചുങ്കം
dutiful,കര്‍ത്തവ്യബോധമുളള
dutiful,കൃത്യവിവേചനമുളള
dutiful,അനുസരണയുളള
dwarf,കുറിയവന്‍
dwarf,മുണ്ടന്‍
dwarf,പൊക്കംകുറഞ്ഞയാള്‍
dwell,പാര്‍ക്കുക
dwell,താമസിക്കുക
dwell,വസിക്കുക
dwelling,പാര്‍പ്പിടം
dwelling,ഗൃഹം
dwelling,ഭവനം
dwindle,മെലിയുക
dwindle,ക്ഷീണിക്കുക
dwindle,ചുരുങ്ങുക
dye,മുടി
dye,തുണി മുതലായവയുടെ നിറം മാറ്റാന്‍ ഉപയോഗിക്കുന്ന വര്‍ണ്ണവസ്തു
dye,ചായം
dye,നിറം
dye,പുതിയ നിറം കൊടുക്കുക
dyke,ചിറ
dyke,ഉയരം കുറഞ്ഞ ഭിത്തി
dyke,പ്രതിബന്ധം
dyke,വെള്ളം ഒലിച്ചു പോവാനുള്ള ചാല്‍
dynamic,ചലനാത്മകമായ
dynamic,ബലതന്ത്രപരമായ
dynamic,ഊര്‍ജ്ജസംബന്ധിയായ
dynamic,ശക്തിപരമായ
dynamite,ഉഗ്രശക്തിയുളള വെടിമരുന്ന്
dynamite,പാറവെടിമരുന്ന്
dynamite,അപകടകരമായ ചുറ്റുപാട്
dynamo,വിദ്യുച്ഛക്തിജനകയന്ത്രം
dynamo,യാന്ത്രികോര്‍ജ്ജത്തെ ആലക്തികോര്‍ജ്ജമായി മാറ്റുന്ന ഉപകരണം
dynamo,ഡൈനാമോ
dynasty,രാജവംശം
dynasty,രാജകുലം
dynasty,വാഴ്ച
emaciated,ക്ഷയിച്ച
emaciated,മെലിഞ്ഞ
emaciated,ക്ഷീണിച്ച
emancipate,സ്വാതന്ത്യ്രം നല്‍കുക
emancipate,മോചിപ്പിക്കുക
embalm,ശവം ചീയാതെ മരുന്നോ സുഗന്ധദ്രവങ്ങളോ പൂശി സൂക്ഷിക്കുക
embalm,സുരഭീകരിക്കുക
embankment,ചിറപിടിക്കല്‍
embankment,അണയിടല്‍
embargo,കപ്പലിനെ തടഞ്ഞുവയ്ക്കല്‍
embargo,കപ്പലുകള്‍ക്കുനല്‍കുന്ന ഗതാഗത നിരോധനാജ്ഞ
embark,ചരക്ക് കപ്പലേറ്റുക
embark,വാഹനത്തിലേറി യാത്രതിരിക്കുക
embark,എന്തെങ്കിലും ആരംഭിക്കുക
embarrass,വ്യാമോഹിപ്പിക്കുക
embarrass,കഷ്ടപ്പെടുത്തുക
embarrassment,സംഭ്രമം
embarrassment,കുഴപ്പം
embarrassment,അമ്പരപ്പ്
embassy,രാജപ്രതിനിധിയുടെ പദവിയോ വസതിയോ
embed,ആഴ്ത്തുക
embed,ഉറപ്പിക്കുക
ember,കനല്‍
ember,തീക്കട്ട
embezzle,വിശ്വസിച്ചേല്‍പ്പിച്ച പണം അപഹരിക്കുക
embezzle,വ്യാജമായി ധനം കൈപ്പറ്റുക
embitter,കയ്പാക്കുക
embitter,മുഷിപ്പിക്കുക
embitter,കടും കോപമുണ്ടാക്കുക
emblem,അടയാളം
emblem,മാതൃക
emblem,മുദ്ര
emblem,സൂചിപ്പിക്കുക
embody,മൂര്‍ത്തീകരിക്കുക
embody,പ്രതിനിധാനം ചെയ്യുക
embody,മൂര്‍ത്തമായവതരിപ്പിക്കുക
embrace,ആശ്ലേഷിക്കുക
embrace,പരസ്പരം കെട്ടിപ്പിടിക്കുക
embrace,സ്വീകരിക്കുക
embrocation,മര്‍ദ്ദനം
embrocation,തേച്ചുകഴുകല്‍
embrocation,കുഴമ്പ്
embroider,വസ്ത്രങ്ങളില്‍ ചിത്രത്തയ്യല്‍വേല ചെയ്യുക
embroider,ചിത്രങ്ങള്‍ തുന്നിയുണ്ടാക്കുക
embroidery,ചിത്രത്തുന്നല്‍
embroidery,ചിത്രത്തയ്യല്‍
embryo,ഭ്രൂണം
embryo,മനുഷ്യഭ്രൂണം
embryo,വിത്തിനകത്തുള്ള മുള
embryo,ബീജാങ്കുരം
emend,ശുദ്ധിപാഠം ചെയ്യുക
emend,പരിഷ്കരിക്കുക
emend,തെറ്റുതിരുത്തുക
emerald,പച്ചക്കല്ല്
emerald,മരതകം
emerge,വെളിക്കുവരുക
emerge,മറനീക്കി പുറത്തുവരുത്തുക
emerge,ആവിര്‍ഭവിക്കുക
emergency,അടിയന്തരാവസ്ഥ
emergency,അത്യാഹിതം
emergency,ബുദ്ധിമുട്ട്
emery,ഇരുമ്പുപൊടി
emery,ലോഹങ്ങളെ മിനുസപ്പെടുത്താന്‍ ഉപയോഗിക്കുന്ന കടുപ്പമുള്ള ധാതുപ്പൊടി
emetic,ഛര്‍ദ്ദിയുണ്ടാക്കുന്ന
emetic,വമനകമായ
emigrate,വിദേശത്ത് കുടിയേറുക
emigrate,നാടുവിട്ടുപോവുക
emigrate,പരദേശത്തു പോകാന്‍ സഹായിക്കുക
emigrant,സ്വദേശത്യാഗി
emigrant,അന്യദേശവാസി
emigrant,കുടിയേറിപാര്‍ക്കുന്ന ആള്‍
emigration,പരദേശക്കുടിയേറ്റം
emigration,വിദേശഗമനം
eminent,ഉന്നതമായ
eminent,ശ്രേഷ്ഠമായ
eminent,വിശിഷ്ടമായ
eminently,മേന്മയോടെ
eminently,ശ്രേഷ്ഠമായി
eminently,വിശിഷ്ടമായി
eminence,ഔന്നത്യം
eminence,ശ്രേഷ്ഠത
eminence,ഉയര്‍ച്ച
emir,പ്രവാചകന്‍ മുഹമ്മദിന്റെ വംശക്കാരന്‍
emir,അറബി ഗവര്‍ണ്ണറോ രാജാവോ
emit,വെളിയിലേക്ക് അയയ്ക്കുക
emit,ചൊരിയുക
emit,പുറപ്പെടുവിക്കുക
emotion,വികാരം
emotion,ഉണര്‍ച്ച
emotion,ക്ഷോഭം
emotion,സ്തോഭം
emotional,മനോവികാരമുണ്ടാക്കുന്ന
emotional,പെട്ടെന്ന് വികാരധീനനാകുന്ന
emperor,ചക്രവര്‍ത്തി
emperor,സമ്രാട്ട്
emperor,രാജാധിരാജന്‍
emphasis,ഊന്നല്‍
emphasis,തറപ്പിച്ചുപറയല്‍
emphasize,പ്രാധാന്യം കൊടുത്തു പ്രതിപാദിക്കുക
emphasize,ഉറപ്പിച്ചു പറയുക
emphatically,ഉറപ്പിച്ച്
emphatically,ഊന്നി
emphatically,മനസ്സില്‍ പതിയത്തക്കവണ്ണം
empire,സാമ്രാജ്യാധിപത്യം
empire,വാണിജ്യസാമ്രാജ്യം
empire,സമ്രാട്ട് ഭരിക്കുന്ന പ്രദേശങ്ങള്‍
employ,പണിയെടുപ്പിക്കുക
employ,ഉപയോഗിക്കുക
employ,നിയമിക്കുക
employment,ഉദ്യോഗം
employment,തൊഴില്‍
employment,വ്യവസായം
employee,ഉദ്യോഗസ്ഥന്‍
employee,വേലക്കാരന്‍
employee,തൊഴിലാളി
empower,അധികാരപ്പെടുത്തുക
empower,ചുമതലപ്പെടുത്തുക
empower,അധികാരം കൊടുക്കുക
empty,ഒഴിഞ്ഞ
empty,വിജനമായ
empty,പൊള്ളയായ
empty,ശൂന്യമായ
emu,ആസ്ട്രേലിയായിലെ പറക്കാന്‍ കഴിയാത്ത ഒരു പക്ഷി
emulate,മത്സരിക്കുക
emulate,കിട പിടിക്കുക
emulate,മറ്റൊരു സംവിധാനത്തെ അനുകരിക്കുക
emulation,പോര്
emulation,മത്സരം
emulsion,പയസ്യ
emulsion,ക്ഷീരപ്രായ ഔഷധം
emulsion,മിശ്രിതം
enable,കഴിവുണ്ടാക്കുക
enable,പ്രാപ്തനാക്കുക
enable,സാധ്യമാക്കിത്തീര്‍ക്കുക
enact,അഭിനയിക്കുക
enact,വേഷം കെട്ടുക
enact,കല്പനയിടുക
enamel,പളുങ്കുപാട
enamel,വെട്ടിത്തിളങ്ങുന്ന ഒരിനം ചായം
enamel,പല്ലിന്റെ പുറമേയുള്ള പളുങ്കുകവചം
enamel,കാചദ്രവ്യം
enchant,വശീകരിക്കുക
enchant,മോഹിപ്പിക്കുക
enchant,ആകര്‍ഷിക്കുക
enchanter,ഐന്ദ്രജാലികന്‍
enchanter,മാന്ത്രികന്‍
enchanter,മന്ത്രവാദി
enchanter,വിമോഹകന്‍
enchantment,മന്ത്രബന്ധനം
enchantment,വശ്യപ്രയോഗം
enchantment,ക്ഷുദ്രവിദ്യ
encircle,വൃത്തമുണ്ടാക്കുക
encircle,വലയം ചെയ്യുക
encircle,വളയുക
enclose,അടച്ചു കെട്ടുക
enclose,കെട്ടിയടയ്ക്കുക
enclose,വേലികെട്ടി അടയ്ക്കുക
enclosure,കത്തിനോടൊപ്പം അടക്കം ചെയ്ത വസ്തുവോ രേഖയോ
enclosure,വളച്ചുകെട്ടിയ വേലി
enclosure,പ്രത്യേകം തിരിച്ച ഇരിപ്പിടങ്ങള്‍
encounter,യാദ്യച്ഛികമായി കണ്ടുമുട്ടുക
encounter,കൂട്ടിമുട്ടുക
encounter,എതിരിടുക
encounter,ഏറ്റുമുട്ടുക
encourage,ധൈര്യപ്പെടുത്തുക
encourage,പ്രോത്സാഹിപ്പിക്കുക
encourage,ആത്മവിശ്വാസം വര്‍ദ്ധിപ്പിക്കുക
encroach,നുഴഞ്ഞുകയറുക
encroach,ആക്രമിക്കുക
encroach,അപഹരിക്കുക
encumber,കുഴക്കുക
encumber,വസ്തുവിന്മേല്‍ കടം ചുമത്തുക
encumber,പ്രതിബന്ധിക്കുക
encumber,നിരോധിക്കുക
encumbrance,ബാദ്ധ്യത
encumbrance,ശല്യം
encumbrance,തടസ്സം
encyclopedia,സര്‍വ്വസംഗ്രഹനിഘണ്ടു
encyclopedia,വിജ്ഞാനകോശം
end,അറ്റം
end,അഗ്രം
end,അതിര്
end,സമാപ്തി
end,അന്ത്യം
ending,പര്യവസാനം
ending,പദാന്തം
ending,സമാപ്തി
endless,അതിരില്ലാത്ത
endless,തീരാത്ത
endless,അന്തമില്ലാത്ത
endlessly,ഇടവിടാതെ
endlessly,അവസാനമില്ലാതെ
endlessly,അതിരറ്റ്
endanger,അപകടത്തിലാക്കുക
endanger,ദോഷം വരുത്തുക
endanger,നഷ്ടത്തിനു ഹേതുവാക്കുക
endear,പ്രിയപ്പെടുത്തുക
endear,പ്രിയത്തിനു പാത്രമാക്കുക
endeavour,അദ്ധ്വാനിക്കുക
endeavour,പരിശ്രമിക്കുക
endeavour,പ്രയത്നിക്കുക
endorse,പണം പറ്റാന്‍ അധികാരപ്പെടുത്തുക
endorse,സാക്ഷ്യപ്പെടുത്തുക
endorsement,അംഗീകാരം
endorsement,മേലൊപ്പുവയ്ക്കല്‍
endow,പരോപകാര്‍ത്ഥം ദ്രവ്യം കൊടുക്കുക
endow,സംഭാവനചെയ്യുക
endowment,ധനവിനിയോഗം
endowment,ധര്‍മ്മസ്വത്ത്
endowment,വസ്തുദാനം
endure,സഹിക്കുക
endure,ഒത്തുപോവുക
endure,ഈടുനില്ക്കുക
endure,ഉറച്ചുനില്‍ക്കുക
endurance,സ്ഥിരത
endurance,സഹനശീലം
endurance,താങ്ങല്‍
enemy,ശത്രു
enemy,വിരോധി
energy,ഊര്‍ജ്ജം
energy,പ്രവര്‍ത്തനശക്തി
energy,ഊക്ക്
energy,ഉന്മേഷം
energy,പ്രസരിപ്പ്
energetic,കര്‍മ്മോദ്യുക്തമായ
energetic,ഊക്കുള്ള
energetic,ശക്തിയോടെ
enfold,പൊതിയുക
enfold,ഉള്‍പ്പെടുത്തുക
enfold,മടക്കുക
enforce,അടിച്ചേല്‍പ്പിക്കുക
enforce,നിയമം നടപ്പിലാക്കുക
enforce,നിര്‍ബന്ധിക്കുക
enforcement,നിറവേറ്റല്‍
enforcement,നടപ്പാക്കല്‍
enfranchise,വോട്ടവകാശം നല്‍കുക
enfranchise,സ്വതന്ത്രമാക്കുക
enfranchise,വിമുക്തമാക്കുക
engage,ജോലിയിലേര്‍പ്പെടുക
engage,നിയോഗിക്കുക
engage,ഏര്‍പ്പെടുക
engage,വിവാഹം
engagement,വിവാഹനിശ്ചയം
engagement,ഇടപാട്
engender,ഉളവാക്കുക
engender,മുളയ്ക്കുക
engender,ജനിപ്പിക്കുക
engender,ഉല്പാദിപ്പിക്കുക
engender,ഹേതുവാകുക
engine,യന്ത്രം
engine,ആവിയന്ത്രം
engine,ഉപായം
engineer,എന്‍ജിനീയര്‍
engineer,വാസ്തുവിദ്യാവിശാരദന്‍
engineer,യന്ത്രവിദ്യാവിദഗ്ധന്‍
engrave,കൊത്തിവയ്ക്കുക
engrave,മുദ്രണം ചെയ്യുക
engraving,മുദ്ര
engraving,അച്ചടിച്ചെടുത്ത പടം
engraving,കൊത്തുവേല
engross,മുഴുകുക
engross,വലിപ്പത്തില്‍ പകര്‍ത്തിയെഴുതുക
engulf,ജലാവര്‍ത്തത്തില്‍ നിക്ഷേപിക്കുക
engulf,ജലം കയറി മുങ്ങുക
enigma,ഗൂഢപ്രശ്നം
enigma,കടങ്കഥ
enigma,മറച്ചൊല്ല്
enigma,സമസ്യ
enjoin,ആജ്ഞാപിക്കുക
enjoin,അടിച്ചേല്‍പ്പിക്കുക
enjoin,ആധികാരികമായി ആവശ്യപ്പെടുക
enjoy,സുഖിക്കുക
enjoy,ആസ്വദിക്കുക
enjoy,രസിക്കുക
enjoyable,സുഖപ്രദമായ
enjoyable,ആസ്വാദ്യമായ
enjoyable,ആനന്ദദായകമായ
enjoyment,സൗഖ്യം
enjoyment,സന്തോഷം
enjoyment,ആനന്ദം
enlarge,അധികപ്പെടുത്തുക
enlarge,വിസ്തരിച്ചുപറയുക
enlarge,വലിപ്പം കൂട്ടിയെടുക്കുക
enlargement,വലിപ്പം
enlargement,വിപൂലീകരണം
enlargement,വലുതാക്കിയ ഫോട്ടോ
enlighten,ബോധവത്കരിക്കുക
enlighten,മുന്‍വിധി മാറ്റുക
enlighten,പ്രകാശമാനമാക്കുക
enlist,പട്ടാളത്തില്‍ ചേര്‍ക്കുക
enlist,പട്ടികയില്‍ പേരു ചാര്‍ത്തുക
enliven,ഉശിരുണ്ടാക്കുക
enliven,ദൃഢപ്പെടുത്തുക
enliven,ആഹ്ലാദിപ്പിക്കുക
enliven,സന്തോഷിപ്പിക്കുക
enmity,വിരോധം
enmity,ശത്രുത
enmity,നീരസം
enmity,വിദ്വേഷം
ennoble,മഹിമപ്പെടുത്തുക
ennoble,ഉത്കൃഷ്ടമാക്കുക
ennoble,ഉന്നതപദവി നല്‍കുക
enormity,അതിക്രമം
enormity,ഘോരത
enormity,ഭീമാകാരം
enormous,അതിബൃഹത്തായ
enormous,അതിഘോരമായ
enormously,അത്യധികമായി
enormously,ക്രമരഹിതമായ
enough,ആവശ്യത്തിനു മതിയായ
enough,തൃപ്തികരമായ
enquire,വിവരം അന്വേഷിക്കുക
enquire,സ്വാസ്ഥ്യം ആരായുക
enquire,ഔപചാരികമായി വിവരം തിരക്കുക
enrage,കോപിപ്പിക്കുക
enrage,ദേഷ്യപ്പെടുത്തുക
enrage,അരിശം കൊള്ളിക്കുക
enrapture,ആഹ്ലാദിപ്പിക്കുക
enrapture,സന്തോഷിപ്പിക്കുക
enrapture,പരവശപ്പെടുത്തുക
enrich,സമ്പന്നമാക്കുക
enrich,പരിപുഷ്ടമാക്കുക
enrich,സ്വത്തുവര്‍ദ്ധിപ്പിക്കുക
enrol,അംഗമായി ചേര്‍ക്കുക
enrol,പട്ടികയില്‍ പേര്‍ ചേര്‍ക്കുക
enrol,അംഗത്വം കൊടുക്കുക
ensign,ഔദ്യോഗികചിഹ്നം
ensign,പദവിചിഹ്നം
ensign,പതാക
ensign,കൊടി
enslave,അടിമയാക്കുക
enslave,ദാസ്യപ്പെടുത്തുക
enslave,വശപ്പെടുത്തിവയ്ക്കുക
ensue,അടുത്തു സംഭവിക്കുക
ensue,തുടര്‍ന്നുവരിക
ensure,ഉറപ്പുവരുത്തുക
ensure,സുദൃഢമാക്കുക
ensure,സംരക്ഷിക്കുക
entail,ആവശ്യമായി വരുക
entail,അന്യാധീനപ്പെടുത്താന്‍ പാടില്ലാത്ത വിധം അവകാശം കൊടുക്കുക
entail,അനിവാര്യമാക്കിത്തീര്‍ക്കുക
entangle,കെട്ടുപിണയുക
entangle,വിഷമിക്കുക
entanglement,കുടുക്കുപിണച്ചില്‍
entanglement,കുരുക്കുപിണച്ചില്‍
enter,പ്രവേശിക്കുക
enter,പാഞ്ഞുകയറുക
enter,ലിസ്റ്റില്‍ ചേര്‍ക്കുക
enterprise,പരിശ്രമം
enterprise,ധീരകൃത്യം
enterprise,സംരംഭം
enterprising,പരിശ്രമശാലിയായ
enterprising,ഉത്സാഹപ്രിയമായ
enterprising,സാഹസമായ
entertain,വിരുന്നുനല്കുക
entertain,പ്രോത്സാഹിപ്പിക്കുക
entertain,സത്കരിക്കുക
entertain,വിനോദിപ്പിക്കുക
entertaining,ഉപചരിക്കുന്ന
entertaining,നേരമ്പോക്കായ
entertaining,ആതിഥ്യം നല്‍കുന്ന
entertainment,ഉപചരണം
entertainment,നേരമ്പോക്ക്
entertainment,തമാശക്കളി
enthrone,രാജാവാക്കുക
enthrone,സിംഹാസനസ്ഥനാക്കുക
enthusiast,മതഭ്രാന്തന്‍
enthusiast,ഉത്സാഹശീലന്‍
enthusiast,ആവേശഭരിതന്‍
entice,മയക്കുക
entice,വശീകരിക്കുക
entice,ദുര്‍മാര്‍ഗ്ഗത്തിലേക്കു നയിക്കുക
enticement,പ്രലോഭനം
enticement,വശീകരണം
entire,നിശ്ലേഷമായ
entire,മുഴുവനായ
entirely,പരിപൂര്‍ണ്ണമായി
entitle,അധികാരപ്പെടുത്തുക
entitle,യോഗ്യമാക്കുക
entitle,പേരിടുക
entitle,പേരുവിളിക്കുക
entomology,കീടശാസ്ത്രം
entomology,ഷഡ്പദശാസ്ത്രം
entrails,കുടല്‍മാല
entrails,അന്തര്‍ഭാഗം
entrance,പ്രവേശനം
entrance,വാതില്‍
entrance,കവാടം
entrant,പുതുതായി പ്രവേശിക്കുന്നയാള്‍
entreaty,അനുനയം
entreaty,യാചിക്കല്‍
entreaty,കിഴിഞ്ഞുള്ള
entreaty,അഭ്യര്‍ത്ഥന
entrench,ഉറപ്പിക്കുക
